1756482863.9107628 [INFO] [launch]: All log files can be found below /home/rpp/rpp_logs/2025-08-29-23-54-23-910307-rpp-Default-string-6497
1756482863.9108281 [INFO] [launch]: Default logging verbosity is set to INFO
1756482863.9381018 [INFO] [iat_publish-1]: process started with pid [6498]
1756482863.9381914 [INFO] [tts_subscribe-2]: process started with pid [6500]
1756482863.9382358 [INFO] [voice_control-3]: process started with pid [6502]
1756482863.9382691 [INFO] [voice_dialog-4]: process started with pid [6504]
1756482864.2955673 [iat_publish-1] [INFO] [1756482864.295312023] [iat_node]: MSPLogin success.
1756482864.3149874 [voice_dialog-4] [INFO] [1756482864.314825249] [voice_dialog_node]: 语音对话节点已启动
1756482864.3216331 [voice_control-3] [WARN] [1756482864.321504074] [voice_control_node]: 尚未获取 base_angle，无法转向
1756482864.5769746 [voice_control-3] [INFO] [1756482864.576790142] [voice_control_node]: 已加载 JSON 文件: /home/rpp//rpp_data/config/voice/voice_pose.json
1756482864.5771630 [voice_control-3] [INFO] [1756482864.576961504] [voice_control_node]: 等待 TF [mic_link -> base_link] 可用...
1756482864.6776094 [voice_control-3] [INFO] [1756482864.677463269] [voice_control_node]: TF 尚未可用，继续等待...
1756482865.2787790 [voice_control-3] [INFO] [1756482865.278586186] [voice_control_node]: TF 尚未可用，继续等待...
1756482865.8798532 [voice_control-3] [INFO] [1756482865.879612534] [voice_control_node]: TF 尚未可用，继续等待...
1756482866.4809391 [voice_control-3] [INFO] [1756482866.480725424] [voice_control_node]: TF 尚未可用，继续等待...
1756482866.9952209 [voice_control-3] [INFO] [1756482866.995017507] [voice_control_node]: TF 尚未可用，继续等待...
1756482867.4958887 [voice_control-3] [INFO] [1756482867.495666443] [voice_control_node]: TTS 成功播报：成功加载 2 个点位
1756482867.4960577 [voice_control-3] [INFO] [1756482867.495887704] [voice_control_node]: TF 尚未可用，继续等待...
1756482867.9969354 [voice_control-3] [INFO] [1756482867.996826770] [voice_control_node]: TF 尚未可用，继续等待...
1756482868.4979904 [voice_control-3] [INFO] [1756482868.497855292] [voice_control_node]: TF 尚未可用，继续等待...
1756482869.0990870 [voice_control-3] [INFO] [1756482869.098902405] [voice_control_node]: TF 尚未可用，继续等待...
1756482869.7002091 [voice_control-3] [INFO] [1756482869.700020956] [voice_control_node]: TF 尚未可用，继续等待...
1756482870.3012550 [voice_control-3] [INFO] [1756482870.301123864] [voice_control_node]: TF 尚未可用，继续等待...
1756482870.9024911 [voice_control-3] [INFO] [1756482870.902279522] [voice_control_node]: TF 尚未可用，继续等待...
1756482871.5036612 [voice_control-3] [INFO] [1756482871.503463721] [voice_control_node]: TF 尚未可用，继续等待...
1756482872.1045055 [voice_control-3] [INFO] [1756482872.104346738] [voice_control_node]: TF 尚未可用，继续等待...
1756482872.7056258 [voice_control-3] [INFO] [1756482872.705412150] [voice_control_node]: TF 尚未可用，继续等待...
1756482873.3065348 [voice_control-3] [INFO] [1756482873.306412002] [voice_control_node]: TF 尚未可用，继续等待...
1756482873.9075081 [voice_control-3] [INFO] [1756482873.907394038] [voice_control_node]: TF 尚未可用，继续等待...
1756482874.5084591 [voice_control-3] [INFO] [1756482874.508255463] [voice_control_node]: TF 尚未可用，继续等待...
1756482875.1094601 [voice_control-3] [INFO] [1756482875.109250758] [voice_control_node]: TF 尚未可用，继续等待...
1756482875.7103181 [voice_control-3] [INFO] [1756482875.710169257] [voice_control_node]: TF 尚未可用，继续等待...
1756482876.3114014 [voice_control-3] [INFO] [1756482876.311249465] [voice_control_node]: TF 尚未可用，继续等待...
1756482876.9123042 [voice_control-3] [INFO] [1756482876.912063285] [voice_control_node]: TF 尚未可用，继续等待...
1756482877.5131721 [voice_control-3] [INFO] [1756482877.512978636] [voice_control_node]: TF 尚未可用，继续等待...
1756482878.1139638 [voice_control-3] [INFO] [1756482878.113782941] [voice_control_node]: TF 尚未可用，继续等待...
1756482878.7146792 [voice_control-3] [INFO] [1756482878.714461389] [voice_control_node]: TF 尚未可用，继续等待...
1756482879.3155799 [voice_control-3] [INFO] [1756482879.315442017] [voice_control_node]: TF 尚未可用，继续等待...
1756482879.9166105 [voice_control-3] [INFO] [1756482879.916423557] [voice_control_node]: TF 尚未可用，继续等待...
1756482880.5178702 [voice_control-3] [INFO] [1756482880.517676342] [voice_control_node]: TF 尚未可用，继续等待...
1756482881.1188920 [voice_control-3] [INFO] [1756482881.118683810] [voice_control_node]: TF 尚未可用，继续等待...
1756482881.7198284 [voice_control-3] [INFO] [1756482881.719697223] [voice_control_node]: TF 尚未可用，继续等待...
1756482882.3215320 [voice_control-3] [INFO] [1756482882.321210847] [voice_control_node]: TF 尚未可用，继续等待...
1756482882.9225264 [voice_control-3] [INFO] [1756482882.922264300] [voice_control_node]: TF 尚未可用，继续等待...
1756482883.5236382 [voice_control-3] [INFO] [1756482883.523375946] [voice_control_node]: TF 尚未可用，继续等待...
1756482884.1250336 [voice_control-3] [INFO] [1756482884.124825473] [voice_control_node]: TF 尚未可用，继续等待...
1756482884.7260306 [voice_control-3] [INFO] [1756482884.725878775] [voice_control_node]: TF 尚未可用，继续等待...
